name,所在地,TEL,url,営業時間,定休日,image_url,免許
アーク・クレスト(株),沖縄県沖縄市上地 2-17-1,098-983-8001,https://www.e-uchina.net/fudosan_kaisha/6986,月-金 09:00〜18:00,土・日・祝日,https://cdn.e-uchina.net/media/shop/006986/5e402b8cfbec69abf4b03ca1783219e5ec9d1e6d.jpg,沖縄県知事（3）第4367号
アークベイ・プランニング,沖縄県宜野湾市真志喜 2-28-11 マッキー802　5F,098-890-0483,https://www.e-uchina.net/fudosan_kaisha/5986,09:00〜18:00,日曜日・祝祭日,https://cdn.e-uchina.net/media/shop/005986/3714c661ffabf361dafdda5c448d805984275682.jpg,沖縄県知事免許(2)第4620号
アース建設株式会社,沖縄県浦添市経塚 87-3,098-943-2998,https://www.e-uchina.net/fudosan_kaisha/6402,09:00〜18:00,土・日・祝・GW・年末年始,https://cdn.e-uchina.net/media/shop/006402/d393c5688282a1c0f97060b7b48e39901eca8c44.jpg,沖縄県知事(1)第5565号
アートハウジング,沖縄県那覇市高良 3-8-18 アートハウス1F,098-851-7258,https://www.e-uchina.net/fudosan_kaisha/5314,09:30〜18:00,日曜・祝日,https://cdn.e-uchina.net/media/shop/005314/73f1c3ff6ed6578448f74dca6e033e07fda2a9d8.jpg,沖縄県知事免許(6)第3102号
(株)アーバンホーム,沖縄県沖縄市上地 1-12-12,098-963-5000,https://www.e-uchina.net/fudosan_kaisha/7189,09:00〜18:00,土日・祝祭日（※対応可）,https://cdn.e-uchina.net/media/shop/007189/635580d4ed55a56d5b3d5f539ce2c9ba6e8bb0f6.jpg,沖縄県知事免許(2)第4572号
株式会社RCワークス,沖縄県那覇市旭町 114-4 おきでん那覇ビル2階,098-860-1333,https://www.e-uchina.net/fudosan_kaisha/7422,09:00〜18:00,水曜日,https://cdn.e-uchina.net/media/shop/007422/224cf6427847964b906be347479143a83755db2e.jpg,沖縄県知事（1）第5594号
(株)アール・スタイル賃貸・売買事業部,沖縄県糸満市武富 228-K,098-943-8792,https://www.e-uchina.net/fudosan_kaisha/5896,09:00〜17:00,火曜日・水曜日・年末年始,https://cdn.e-uchina.net/media/shop/005896/63d7675274fc6584f6ee208b568db9442c57288b.jpg,沖縄県知事免許(3)第4340号
（株）アールスタイル 戸建事業部,沖縄県糸満市武富 228-K,098-894-9798,https://www.e-uchina.net/fudosan_kaisha/7337,10:00〜18:00,火・水・年末年始・お盆,https://cdn.e-uchina.net/media/shop/007337/2695962cf8239085756d24dcd5e91129b85eea1e.jpg,沖縄県知事免許(3)第4340号
株式会社 アールハウジング,沖縄県那覇市長田 1-13-43,098-851-4152,https://www.e-uchina.net/fudosan_kaisha/7375,10:00〜18:00,土・日・祝祭日,https://cdn.e-uchina.net/media/shop/007375/0c37856acb27e09f4999292e89613bfea4132c6e.jpg,沖縄県知事(2)第4860号
アイアール住宅,沖縄県読谷村伊良皆 137,098-927-5283,https://www.e-uchina.net/fudosan_kaisha/5913,月曜日ー金曜日 10:00〜18:00,土曜日・日曜日・祝日,https://cdn.e-uchina.net/media/shop/005913/b15967eb549e93ed137dc6e64d4113f664e955fd.jpg,沖縄県知事免許(3)第4294号
